"STATION","Lat","Long","ZipCode","County","State","RadiusInMiles","BoundsWest","BoundsEast","BoundsNorth","BoundsSouth"
"USW00014939",40.8508,-96.7475,"68524","Lancaster County","NE",6,-96.9106,-96.733699,40.930166,40.82389
"USC00118147",38.1167,-89.7167,"62286","Randolph County","IL",9,-89.850847,-89.592395,38.219696,38.015453
"USC00118389",39.5608,-88.6089,"61951","Moultrie County","IL",10,-88.726697,-88.432875,39.710071,39.505323
"USW00014936",44.3981,-98.2231,"57350","Beadle County","SD",21,-98.41787,-97.992265,44.596551,44.195813
"USW00014935",40.9611,-98.3136,NA,NA,NA,NA,NA,NA,NA,NA
"USC00144972",39.1972,-96.5814,"66506","Riley County","KS",0.909090909090909,-96.589388,-96.576094,39.206198,39.186016
"USC00477708",44.7631,-88.6183,"54166","Shawano County","WI",15,-88.868625,-88.473282,44.856775,44.651516
"USC00478919",43.1742,-88.7364,"53094","Jefferson County","WI",11,-88.891011,-88.551867,43.198213,43.048562
"USC00234271",38.5853,-92.1825,"65109","Cole County","MO",11,-92.369992,-92.17848,38.677445,38.43026
"USC00140010",38.9267,-97.2128,"67410","Dickinson County","KS",19,-97.371194,-97.037286,39.147904,38.725681
"USC00472001",42.6783,-90.1064,"53530","Lafayette County","WI",12,-90.310186,-89.965481,42.799359,42.591782
"USC00473453",43.3317,-88.4117,"53027","Washington County","WI",12,-88.461195,-88.271855,43.442841,43.192932
"USC00258320",40.0297,-98.0758,"68978","Nuckolls County","NE",8,-98.256104,-97.934055,40.176496,39.94319
"USC00127298",40.9239,-87.1753,"47978","Jasper County","IN",14,-87.314945,-86.91178,41.144191,40.837152
"USC00129113",38.7386,-87.4878,"47591","Knox County","IN",13,-87.670118,-87.34475,38.792874,38.49449
"USW00093817",38.0442,-87.5206,NA,NA,NA,NA,NA,NA,NA,NA
"USW00094908",42.3978,-90.7036,NA,NA,NA,NA,NA,NA,NA,NA
"USC00119354",39.4458,-88.5961,"61957","Shelby County","IL",9,-88.73086,-88.490233,39.522943,39.338538
"USC00120784",39.1742,-86.5214,"47408","Monroe County","IN",8,-86.541371,-86.370292,39.335602,39.151513
"USC00121873",40.0028,-86.8011,"47933","Montgomery County","IN",15,-87.091051,-86.67649,40.186138,39.894888
"USC00258328",41.1042,-97.3094,"68667","Butler County","NE",4,-97.368101,-97.234363,41.134312,41.068921
"USW00013984",39.5514,-97.6508,"66901","Cloud County","KS",15,-97.816497,-97.402461,39.711216,39.379337
"USC00474546",42.8278,-90.7889,"53813","Grant County","WI",13,-90.90208,-90.52927,42.955927,42.72651
"USW00014950",41.1078,-92.4467,"52501","Wapello County","IA",14,-92.639955,-92.193758,41.162,40.899158
"USC00214546",44.2394,-95.3153,"56152","Redwood County","MN",14,-95.370406,-95.168239,44.369624,44.079602
"USC00144982",39.7889,-98.2039,"66956","Jewell County","KS",20,-98.430091,-98.043206,39.944157,39.654262
"USC00131319",42.0497,-91.5881,"52302","Linn County","IA",8,-91.702071,-91.472386,42.145161,41.975945
"USC00258795",41.3197,-96.3672,"68064","Douglas County","NE",8,-96.47072,-96.253408,41.400782,41.291682
"USC00256375",41.1844,-97.5514,"68651","Polk County","NE",10,-97.7525,-97.464415,41.339411,41.133919
"USC00237632",38.6753,-93.2228,"65301","Pettis County","MO",15,-93.43952,-93.053011,38.872024,38.534071
"USC00128036",38.5528,-86.7944,"47581","Martin County","IN",14,-86.890756,-86.682435,38.829157,38.525996
"USC00211263",44.7183,-96.2697,"56220","Yellow Medicine County","MN",14,-96.451871,-96.051685,44.877826,44.531664
"USC00394037",44.0122,-97.5317,"57349","Miner County","SD",16,-97.770942,-97.430022,44.195336,43.864045
"USC00216839",44.5486,-95.0997,"56283","Redwood County","MN",14,-95.309935,-94.990647,44.686966,44.390926
"USC00131442",42.7572,-95.5378,"51012","Cherokee County","IA",13,-95.720853,-95.44662,42.895705,42.605165
"USC00130112",41.0656,-92.7867,"52531","Monroe County","IA",12,-93.003059,-92.639165,41.161301,40.905923
"USC00256135",42.0644,-97.9667,"68761","Antelope County","NE",7,-98.021591,-97.902532,42.133199,41.988051
"USC00396574",43.0689,-98.5325,"57367","Charles Mix County","SD",0.795454545454545,-98.561172,-98.48694,43.077768,43.052828
"USW00003945",38.8169,-92.2183,NA,NA,NA,NA,NA,NA,NA,NA
