STATION,COUNTY,STATE_CODE,Lat,Long
USC00046624,Los Angeles,06,34.5883,-118.0939
USC00047953,Los Angeles,06,34.0075,-118.4997
USC00046506,Glenn,06,39.7458,-122.1997
USC00042941,Los Angeles,06,34.705,-118.4297
USW00093112,San Diego,06,32.7,-117.2
USC00040521,San Bernardino,06,34.8928,-117.0219
USC00264341,White Pine,32,40.0633,-114.6147
USC00049452,Kern,06,35.5892,-119.3519
USC00267175,White Pine,32,39.2764,-114.9911
USW00003125,Yuma,04,32.8356,-114.3942
USC00268822,Lyon,32,39.0747,-119.1189
USC00267612,Lyon,32,38.8822,-119.3511
USC00046508,Humboldt,06,41.3089,-123.5317
USC00042706,San Diego,06,32.8006,-116.9281
USW00003122,Los Angeles,06,33.8017,-118.3411
USC00042709,San Diego,06,32.8856,-116.815
USC00267618,Washoe,32,40.6044,-119.7475
USC00044555,Monterey,06,36.2069,-121.1378
USC00047821,Santa Clara,06,37.3497,-121.9033
USC00040192,Orange,06,33.8647,-117.8425
USC00264698,Pershing,32,40.17,-118.4775
USC00046175,Orange,06,33.6031,-117.8836
USC00048353,Tuolumne,06,37.9672,-120.3872
USC00049200,Solano,06,38.3956,-121.9608
USC00041048,Imperial,06,32.9544,-115.5581
USC00046174,Tuolumne,06,38.0047,-120.4864
USC00048351,Sonoma,06,38.2994,-122.4622
USC00044671,San Bernardino,06,34.2467,-117.1883
USC00046730,San Luis Obispo,06,35.6278,-120.6856
USC00049325,San Bernardino,06,34.5292,-117.2928
USC00043463,Kern,06,35.7269,-118.7006
USC00047150,Monterey,06,36.1883,-120.6953
USC00269229,Lyon,32,38.9992,-119.1575
USC00042934,Solano,06,38.2736,-122.0678
USC00041967,Contra Costa,06,37.9833,-122.0692
USC00048917,Tulare,06,36.465,-118.8619
USC00041277,Calaveras,06,38.2769,-120.3114
USC00043578,Sonoma,06,38.4306,-122.8647
USC00045756,Kern,06,35.0492,-118.1619
USC00047813,Riverside,06,33.7964,-116.9753
USC00047253,Kern,06,35.3692,-117.6525
USC00040741,San Bernardino,06,34.2431,-116.9169
USC00040983,San Diego,06,33.2558,-116.4036
USC00046168,Merced,06,37.2811,-121.0178
USC00048587,Glenn,06,39.5861,-122.5342
USC00043573,Nevada,06,39.2042,-121.0681
